S1,S2,S3,S4,S5,PM2.5,0.3,0.5,1,2.5
4.66E-05,0.032990534,7.943909073,1.58404422,2.91E-07,0.474791667,210.070625,59.47770833,5.127916667,0.448819444
5.718317257,3.29E-15,1.74E-09,5.27E-35,3.43E-11,0.898333333,254.0954167,73.02430556,9.200555556,0.562847222
5.369596174,2.88E-14,8.51E-08,1.45E-16,0.258238337,0.297083333,169.2188889,47.86076389,4.519444444,0.428888889
4.843067656,2.36E-31,0.000652569,3.16E-42,2.58E-26,2.761875,465.1465972,135.96125,22.16972222,1.181180556
3.860660788,5.41E-09,9.42E-08,1.14E-10,8.89E-10,4.284027778,676.29875,196.6351389,27.54513889,1.339652778
0.00151714,0.523523324,7.047714471,0.472736867,1.165804165,5.000763889,726.4300694,212.4606944,35.23520833,2.022777778
5.277566062,8.48E-42,8.30E-11,2.90E-56,8.79E-33,5.539236111,797.7976389,233.1770139,37.36534722,2.043263889
4.651990036,0.000262721,1.259701148,2.23E-06,0.002566545,10.52409722,1497.344097,438.8532639,71.66034722,3.729097222
0.000151389,0.006752421,7.136385115,0.224265859,1.284696516,11.84055556,1428.039097,422.2618056,83.67986111,4.954097222
4.115921283,0.241021374,2.757217234,1.67E-05,0.007604826,1.081527778,230.29,66.31416667,8.533263889,0.608194444
0.027130867,0.225296909,5.056440096,0.311762164,2.189104867,2.544930556,443.7883333,129.5121528,20.23756944,1.147847222
5.56691791,3.066255668,0.000508764,0.652985651,0.632940328,1.401388889,285.709375,83.61055556,15.06569444,1.170486111
1.953119988,5.98247425,2.558658996,0.093607867,1.178619569,5.767569444,837.2653472,244.9798611,37.57743056,1.988125
6.79E-05,7.83E-06,4.876203563,1.089484967,8.99E-08,0.940322581,283.0734921,80.53111111,8.166825397,0.54984127
4.485746461,0.410418224,0.001526802,2.048473455,3.56681028,0.359357143,169.3919149,47.61765957,4.138723404,0.409574468
2.952156627,10.84490915,3.36E-05,22.01400168,0.188627343,0.006923077,25.39,6.963146853,0.73006993,0.311258741
0.002312247,0.678889036,0.011581299,45.44994216,0.311256089,0.72248227,211.5423404,59.41070922,5.611702128,0.479148936
0.089942931,23.47536,8.75E-10,6.338065153,1.727221233,17.61605839,1981.798951,566.6244755,74.71286713,5.034475524
1.97E-07,0.015882066,1.81E-05,60.2326444,1.09E-05,19.15430769,2470.346667,697.7860417,74.64444444,4.313125
5.14E-06,1.20E-06,0.094243483,46.22073741,7.33E-09,29.71912409,3565.809236,1027.017361,155.5111111,11.97270833
1.421921401,1.035958621,1.168558812,0.00034062,3.005698958,19.488,2385.208472,678.9313194,82.31604167,5.090347222
4.444139857,1.9889742,2.66E-10,1.223262425,9.143606195,1.5775,311.311875,88.25,13.90270833,1.719166667
2.619126849,2.519266587,0.006480625,0.823653768,5.901334491,9.673,1138.737273,326.0988112,46.02055944,3.321748252
5.647151972,8.96285637,2.78E-06,5.744546756,3.775390095,47.81570248,5970.215486,1731.315486,265.7009028,17.18840278
0.480052419,1.168487114,2.522205514,33.09414796,2.585209412,57.47183824,7461.824722,2206.483958,479.1307639,48.02180556
3.541888368,9.564235689,1.20E-10,0.022498846,2.502264638,15.23076336,1714.154406,492.9116084,71.13328671,4.983986014
6.118900996,0.000146943,3.27E-05,0.000554185,4.532104538,1.589555556,270.9673469,75.91040816,7.73244898,0.694489796
3.795835711,8.040921924,0.000332987,2.025325451,3.248786596,27.32514925,3045.529291,867.9182979,108.2703546,6.949503546
8.195239191,0.59121515,5.26E-08,0.004054632,10.43079633,14.84524194,1716.402168,485.4352448,57.10622378,3.878671329
0.056708099,9.98E-07,1.750300567,0.003504127,7.505740711,0.398740741,158.1522917,44.04472222,4.660277778,0.579166667
1.868805436,1.36E-11,6.23E-07,1.08E-19,8.635245811,10.34976923,1184.589433,332.4531915,33.37319149,2.036241135
0.101538516,9.54E-39,0.330549287,2.70E-53,5.921646161,27.17689922,3231.18,914.2879577,102.1894366,5.977394366
0.004666862,3.96E-19,1.243593549,4.41E-30,3.978654176,38.09064286,4378.702867,1254.917203,163.1127972,9.625524476
0.57883708,4.95E-10,0.849040286,3.40E-10,12.80373565,7.053649635,1028.632014,292.0165278,33.58361111,2.089722222
0.001426643,0.000127302,4.704608339,0.730413383,3.566628379,9.589609375,1243.983497,356.3395105,44.34251748,2.323286713
1.20E-13,5.71E-26,2.59E-12,4.08E-33,15.52904608,1.526220472,329.3127465,92.12922535,8.67943662,0.724859155
6.251386898,2.51E-21,0.090359134,2.81E-34,0.329403113,0.8832,251.087305,69.71851064,6.974326241,0.760212766
0.008764998,1.60E-15,3.216714259,3.71E-31,4.345307633,5.56408,867.0397203,244.2898601,23.92965035,1.523636364
0.136659243,1.592464082,2.484122705,0.700897887,0.120272581,1.912695652,375.0127338,105.3043885,11.83661871,1.012446043
0.002795233,8.394699635,0.000148188,0.072272462,2.480649693,19.07105691,2440.588116,691.4700725,80.06188406,5.001884058
2.339900113,3.58E-06,4.464964845,5.77E-10,0.017065013,16.80175258,2261.146373,645.5873529,79.08019608,4.18
0.224066492,4.517507552,0.64698713,0.580070457,4.070785142,10.1729771,1354.235833,383.2979861,45.99763889,2.867986111
0.001194018,0.007821469,2.03E-06,2.96E-10,13.46007153,22.60106061,2599.794792,751.0469444,117.0003472,8.027430556
0.029102828,6.982311525,0.00200476,0.578493192,11.92702379,0.723982301,212.5314583,60.38930556,7.718263889,0.782777778
3.838959264,2.107984162,0.170608715,2.42E-05,7.839375021,14.01130435,2074.92234,582.903617,58.43170213,3.307234043
0.266557265,9.46263899,0.006198738,0.13319885,11.96466026,6.442222222,911.1752083,261.5606944,37.32986111,2.692222222
1.10187855,6.17E-33,0.000106822,3.57E-51,3.275434415,1.125902778,287.6729167,78.7625,9.742916667,0.958125
0.001426186,1.265058024,1.56E-09,6.64E-10,14.36233919,18.10237762,2802.937343,788.4682517,68.03055944,2.27951049
0.00570746,10.88171407,1.11E-05,2.343892528,11.56351256,4.058541667,694.5927083,189.199375,23.78645833,2.114652778
0.004877971,1.412840749,0.087888653,8.40E-05,12.54303032,19.66222222,3151.53625,885.7785417,81.78305556,3.335763889
1.92E-11,17.19258138,2.47E-10,5.47E-05,15.0494054,10.51,1567.323194,441.3913889,52.30326389,3.370972222
1.61E-08,15.67437749,2.55E-12,0.001642822,12.90397756,7.842152778,1158.83375,331.5170139,42.42645833,3.075833333
0.882337072,4.688305692,2.52E-05,0.830526923,7.52E-06,10.25409722,1586.144931,447.8151389,45.67201389,2.3175
4.97E-10,9.062696498,9.79E-15,0.603838392,8.51E-06,2.838541667,512.8447917,146.7113889,18.22263889,1.298541667
4.50E-16,15.04874018,2.17E-21,3.36E-07,4.14E-06,15.57694444,2149.150764,612.6730556,80.50284722,4.194861111
9.99E-09,7.123897154,5.63E-12,0.102240288,0.00726144,13.271875,1938.569931,549.5467361,65.32222222,3.179861111
1.525491166,8.145082682,1.00E-18,4.15E-10,0.003803161,4.727342657,788.9378322,223.6357343,25.45594406,1.443006993
0.62973837,4.05017657,2.06E-08,1.05E-07,0.000963211,8.391319444,1232.92,350.42,38.59875,2.061597222
3.34E-13,20.05301918,9.74E-15,0.039727941,5.31E-07,2.195486111,441.005,122.7419444,13.01930556,1.027430556
7.77E-08,16.15887215,0.000281756,3.454522271,0.000164665,14.54527778,1988.083681,569.9664583,66.33166667,2.723958333
1.78645835,0.705895638,5.16E-06,1.210798731,1.75E-06,6.627152778,891.7348611,254.0861111,31.991875,2.130138889
0.100714668,2.814531251,0.005003625,0.228741583,1.49E-07,26.48770833,3813.864931,1095.344167,150.6035417,6.987847222
2.70E-09,9.235909973,1.17E-08,0.080504585,5.66E-06,11.93388889,1799.389861,508.7752083,57.60576389,2.837222222
8.04E-17,11.22225075,4.13E-24,3.55E-15,0.000139476,20.35930556,3231.1925,901.9917361,90.67868056,3.800347222
4.06E-06,2.303320148,4.01E-13,0.323660177,0.723259212,1.780902778,424.5979167,117.4822222,10.32152778,0.772152778
5.85E-15,8.768603235,7.15E-13,0.865599875,3.60E-09,6.264513889,1046.067778,293.8888194,30.37569444,1.530347222
1.49E-07,9.458317552,2.41E-08,1.049526342,1.83E-05,10.638125,1636.416597,460.1442361,51.85680556,2.457083333
1.06E-08,17.94676702,2.59E-09,3.177658219,2.30E-07,6.672430556,1137.827917,315.9538889,30.80895833,1.652361111
0.665669413,5.608612804,0.050700608,0.000819727,1.221553575,6.9175,1287.522153,350.1940278,27.43958333,1.413958333
0.000630388,6.359114381,0.31936315,0.659908424,4.79E-07,1.674513889,366.31875,103.1557639,12.450625,0.860277778
2.924892687,0.447375481,3.45E-07,0.300540944,5.09E-11,4.036319444,722.2486111,202.1013889,22.06173611,1.417569444
1.750034748,1.083738061,1.14E-08,0.003804917,1.24E-08,4.756805556,763.6515278,217.6089583,29.30333333,1.892847222
3.041321193,0.597601939,0.002012524,1.619168659,1.37E-09,25.48513889,4258.062986,1232.589236,168.5380556,9.947638889
0.635923554,1.902402486,0.002383441,1.109772449,0.031252052,7.764583333,1031.952083,298.9222222,53.16,3.689097222
3.89E-05,11.71787163,2.95E-10,0.896903566,0.020347278,2.908263889,549.5676389,153.6261806,19.08222222,1.127222222
0.000216841,4.127859799,2.107885149,0.044028639,0.894788836,2.749722222,625.0076389,166.7748611,14.27104167,0.892708333
1.657971979,4.739927577,0.001982262,2.98E-09,0.003818678,2.773888889,503.6774306,142.051875,19.73701389,1.300069444
2.83E-05,0.001010253,5.800757036,1.55E-12,1.550416237,5.005902778,797.3328472,225.1521528,31.50791667,2.275
2.627349028,3.34E-29,7.50E-13,1.98E-41,9.95E-23,11.12854167,1895.031806,515.3104861,45.43361111,2.239583333
6.14E-07,8.988576195,1.31E-08,0.121806341,0.000349332,19.32773196,2423.516701,692.3923711,94.34979381,5.999484536
